ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
0-917510-11-9,422 Tax Deductions for Businesses and Self-Employed Individuals : You Get a Raise Every Time You Find a Legitimate Tax Deduction,"Kamoroff, Bernard",UNKNO,207,1998-08,"Income Tax Deductions For Expenses, Self-employed, Taxation, Law And Legislation",Paperback,,en,,"Height: 9.25 Inches, Length: 0.75 Inches, Weight: 0.66 Pounds, Width: 6.25 Inches",16.95,https://images.isbndb.com/covers/01/13/9780917510113.jpg,Success
0-15-201884-0,Smoky Night,"Bunting, Eve",Clarion Books,40,1999-04-01,,Paperback,"<p><p>in A Night Of Rioting, Daniel And His Mother Are Forced To Leave Their Apartment For The Safety Of A Shelter. &#8220;diaz Has Not Been Afraid To Take Risks In Illustrating The Story With Thickly Textured Paintings Against A Background Of Torn-paper And Found-object Collage. Without Becoming Cluttered Or Gimmicky, These Pictures Manage To Capture A Calamitous Atmosphere That Finally Calms. . . . Both Author And Artist Have Managed To Portray A Politically Charged Event Without Pretense Or Preaching.&#8221;&#151;<i>the Bulletin</i></p><h3>publishers Weekly</h3><p>bunting Addresses Urban Violence In This Thought-provoking And Visually Exciting Picture Book Inspired By The Los Angeles Riots. Although They're Neighbors, Daniel's Cat And Mrs. Kim's Cat Don't Get Along. Nor Do Daniel And His Mother Shop At Mrs. Kim's Market. ``it's Better If We Buy From Our Own People,'' Daniel's Mother Says. But When Daniel's Apartment Building Goes Up In Flames, All Of The Neighbors (including The Cats) Learn The Value Of Bridging Differences. Bunting Does Not Explicitly Connect Her Message About Racism With The Riots In Her Story's Background, But Her Work Is Thoroughly Believable And Taut, Steering Clear Of The Maudlin Or Didactic. Diaz's Dazzling Mixed-media Collages Superimpose Bold Acrylic Illustrations On Photographs Of Carefully Arranged Backgrounds That Feature A Wide Array Of Symbolic Materials--from Scraps Of Paper And Shards Of Broken Glass To Spilled Rice And Plastic Dry-cleaner Bags. Interestingly, Diaz Doesn't Strongly Differentiate The Presumably Asian American Mrs. Kim From The African American Characters--even The Artwork Here Cautions The Reader Against Assumptions About Race. Ages 5-up. (mar.)</p>",en,First Edition,"Height: 10 Inches, Length: 10 Inches, Weight: 0.44 Pounds, Width: 0.12 Inches",7.99,https://images.isbndb.com/covers/88/49/9780152018849.jpg,Success
0-7868-6451-6,The Hungry Ocean: A Swordboat Captain's Journey,"Greenlaw, Linda",Hachette Books,288,1999-05-12,"Greenlaw, Linda , 1960-, Swordfish fishing, Swordfish fishing--Grand Banks of Newfoundland--Anecdotes, SH691.S8 G689 1999, 639.2/778 B",Hardcover,The Female Captain Of A Swordfishing Vessel Chronicles The Experience Of A Month Long Fishing Voyage. Turning The Boat Around -- Mug-up -- Second Thoughts -- Mug-up -- The Men -- Mug-up -- Sea Time -- Mug-up -- Loose Lips -- Mug-up -- The Golden Horseshoe -- Mug-up -- West Bound. Linda Greenlaw.,en,First Edition,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 1.08 Pounds, Width: 0 Inches",0.00,https://images.isbndb.com/covers/45/15/9780786864515.jpg,Success
1-85489-088-3,"Female Fortune: Land, Gender And Authority","Jill Liddington, Ann Lister",Rivers Oram Press,304,1998,,Hardcover,"This is a reappraisal of the lesbian landowner, Anne Lister (1791-1840), who was a scholar, heiress, traveller and diarist. Her challenge to conventional behaviour is well documented in her diaries, showing here the opportunities that could be won in those days for independent women.",en,,5.60 (w) x 8.70 (h) x 1.15 (d),49.95,https://images.isbndb.com/covers/08/87/9781854890887.jpg,Success
1-56689-075-6,Namako: Sea Cucumber,"McFerrin, Linda Watanabe",Coffee House Pr,256,1998,"Japanese Americans, Japanese Americans--Japan--Fiction, Americans--Fiction, Americans--Japan--Fiction, Japanese Americans--Fiction, Grandmothers--Fiction, Girls--Fiction, Civilization, Fiction, PS3573.A7987 N3 1998, 813/.54",Paperback,"The sea cucumber resists categorization - it seems not quite animal, not quite vegetable. In Namako: Sea Cucumber, Ellen, a 10-year-old multiracial girl, no longer a child, not quite a teenager, finds herself exploring an unfamiliar world of spirits and ancestors, ghost stories and secrets. Leaving the United States, Ellen and her family travel to Japan to care for an ailing grandmother Ellen has never met. In Tokyo, Ellen is sent to stay with and learn from her seemingly disapproving grandmother. When her father buys a house in northern rural Japan, Ellen and her grandmother rejoin the family. While there, Ellen's life changes rapidly - she discovers a talent for art, gains a best friend, and grows to love her grandmother. Honoring a last request, Ellen and her mother journey with her grandmother to their ancestral home. There, finally, Ellen begins to integrate her family's history with her own future.",en,First Edition,"Height: 7.75 Inches, Length: 5.25 Inches, Weight: 0.65 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/07/55/9781566890755.jpg,Success
0-15-202070-5,The Time Garden,"Eager, Edward, Bodecker, N. M.",Odyssey Classics,208,1999-03-31,,Paperback,"<p><P>Four cousins spending a summer in a house by the sea discover a magic thyme garden from which they embark on a number of adventures in time.</p><h3>Children's Literature</h3><p>This re-release of a forty-year-old fantasy brings Eager's imaginative time travel tale to a new audience. The magical thyme garden transports two sets of sibling cousins to far away places and real and mythical eras. Escorted by the toadlike Natterjack, the children visit Salem; Elizabethan England; a cannibal island; and the March's home in Concord, Massachusetts. The adventures seem surprisingly fresh and are less politically incorrect than expected, having originated in the fifties. The Bodecker illustrations retain their original charm, and are supplemented with cover art by Quentin Blake. A delightful diversion for adults to revisit with their favorite young reader.</p>",en,1,"Height: 7.6251816 Inches, Length: 5.1251866 Inches, Weight: 0.44 Pounds, Width: 0.58098309 Inches",6.99,https://images.isbndb.com/covers/07/05/9780152020705.jpg,Success
1-885404-13-1,Gayellow Pages Us/canada #23 1999/2000 (gayellow Pages. National Edition),Frances Green,Renaissance House,544,1999,,Paperback,,en,,,16,https://images.isbndb.com/covers/41/38/9781885404138.jpg,Success
0-7043-4537-4,Beyond Sex and Romance?: The Politics of Contemporary Lesbian Fiction,,Womens Pr Ltd,218,1999-03-01,"English fiction--Women authors--History and criticism, American fiction--Women authors--History and criticism, Lesbians in literature, Homosexuality and literature--History, Homosexuality and literature--Great Britain--History--20th century, Homosexuality and literature--United States--History--20th century, Women and literature--History, Women and literature--Great Britain--History--20th century, Women and literature--United States--History--20th century, English fiction--History and criticism, English fiction--20th century--History and criticism, American fiction--History and criticism, American fiction--20th century--History and criticism, PR888.L46 B49 1998, 823/.910935206643",Paperback,"Elaine Hutton Examines The Current State Of Lesbian Literature And Questions Whether It Continues To Be Relevant To Lesbians. She Asks Whether The Literature Is Now Simply Perpetuating Heterosexual Ideologies Instead Of Challenging Them. Introduction -- The Education Of May Sarton : Love Between Women In Four Novels By May Sarton / Lis Whitelaw -- The State Of The Heart : Ideology And Narrative Structure In The Novels Of Maureen Duffy And Caeia March / Anira Rowanchild -- Woebegone Dykes : The Novels Of Lisa Alther / Vada Hart -- Lesbian Writers In The Mainstream : Sara Maitland, Jeanette Winterson And Emma Donoghue / Rachel Wingfield -- Lindsay Gordon Meets Kate Brannigan : Mainstreaming Or Malestreaming : Representations Of Women Crime Fighters / Jill Radford -- Blackening My Characters : Race And Characterisation In Lesbian Fiction / Anita Naoko Pilgrim -- Beyond Sex And Romance? Lesbian Relationships In Contemporary Fiction / Lynne Horne -- Zero Tolerance In Wonderland : Some Political Uses Of Imagination / Elaine Miller -- Good Lesbians, Bad Men, And Happy Endings / Elaine Hutton. Elaine Hutton, Editor. Includes Bibliographical References (p. [205]-211) And Index.",en,1st ed,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.3637627323 Pounds, Width: 0.5 Inches",17.99,https://images.isbndb.com/covers/53/79/9780704345379.jpg,Success
1-56689-083-7,Prayers of an Accidental Nature,"Debra Di Blasi, Debra DiBlasi",Coffee House Press,224,1999-04-01,"Social life and customs, PS3554.I1735 P73 1999, 813/.54",Paperback,The Season's Condition -- Drowning Hard -- An Interview With My Husband -- Blind -- I Am Telling You Lies -- Fog -- An Obscure Geography -- Where All Things Converge -- Our Perversions -- Chairman Of The Board -- Pavlov's Smile -- Prayers Of An Accidental Nature. Debra Di Blasi.,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.5291094288 Pounds, Width: 0.6 Inches",13.95,https://images.isbndb.com/covers/08/30/9781566890830.jpg,Success
0-395-92472-3,Natural Obsessions: Striving to Unlock the Deepest Secrets of the Cancer Cell,"Angier, Natalie",Mariner Books,416,1999-04-06,,Paperback,"<p><p>as Dramatic As The Double Hex And As Absorbing As The Soul Of A New Machine, Natural Obsessions Explores The Advanced Reaches Of Molecular Biology, The Nature Of The Human Cell, And The Genes That Control Cancer. It Unforgettably Portrays Some Of The Best Young Scientists In The World, The Rewards And Discouragements Of Scientific Research, And The Very Process Of Scientific Inquiry.<p></p> <h3>publishers Weekly</h3> <p>two Rival Teams Of Eminent Biologists Studying Oncogenesthe Coils Of Dna That Control Cancer Growth In Cellsare The Focus Of This Overlong, Detailed Report By A New York University Graduate School Instructor. One Group, At The Mit-affiliated Whitehead Institute, Is Led By Molecular Biologist Robert Weinberg, Portrayed Here As The Father Figure Of A Bickering But Close-knit Tribe Of Underpaid Graduate Students And ``postdocs.'' Michael Wigler, A Flamboyant, Eccentric Prodigy, Heads The Other Team At The Cold Spring Harbor Laboratory In New York. The Significance Of Cancer-fighting Discoveries Tends To Get Lost Here Amid Soul-searching, Petty Rivalries And Tentative Experiments. Scientific Research, We Learn, Is An Enterprise Beset By Ridiculous Mistakes And False Results. A Fondness For Solving Puzzles Seems To Motivate These Scientists More Than A Desire To Help Suffering Humanity. Photos Not Seen By Pw. (june)</p>",en,Reprint,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 1.2 Pounds, Width: 1.05 Inches",14.9,https://images.isbndb.com/covers/47/23/9780395924723.jpg,Success
0-688-15313-5,White Coat: Becoming A Doctor At Harvard Medical School,"Rothman, Ellen L., Rothman, Ellen",William Morrow,352,1999-03-17,"Rothman, Ellen Lerner, Harvard Medical School., Schools, Medical, Students, Medical, Medical students, Medical students--United States--Biography, R154.R755 A3 1999, 1999 E-766, WZ 100 R8467 1999, 610/.71/17444 B",Hardcover,"In White Coat, Ellen Rothman Offers A Vivid Account Of Her Four Years At One Of The Best Medical Schools In The Country, And Opens The Infamously Closed Door Between Patient And Doctor. Touching On Today's Most Important Medical Issues -- Such As Hmos, Aids, And Assisted Suicide -- The Author Navigates Her Way Through Despair, Exhilaration, And A Lot Of Exhaustion In Harvard's Classrooms And Boston's Hospitals To Earn The Indisputable Title To Which We Entrust Our Lives. With A Thoughtful, Candid Voice, Rothman Writes About A Wide Range Of Experiences -- From A Dream About Holding The Hand Of A Cadaver She Had Dissected To The Acute Embarrasment She Felt When Asking Patients About Their Sexual Histories. She Shares Her Horror At Treating A Patient With A Flesh-eating Skin Infection, The Anxiety Of Being Pimped By Doctors For Information (when Doctors Quiz Students On Anatomy And Medicine), As Well As The Ultimate Reward Of Making The Transformation And Of Earning A Doctor's White Coat. For Readers Of Perri Klass, Richard Selzer, And The Millions Of Fans Of Er, White Coat Is A Fascinating Account Of One Woman's Journey Through School And Into The High-stakes Drama Of The Medical World. Ellen Lerner Rothman.",en,1,"Height: 12.75 Inches, Length: 6.5 Inches, Weight: 1.4 Pounds, Width: 1.25 Inches",25,https://images.isbndb.com/covers/31/37/9780688153137.jpg,Success
1-875559-18-3,St Suniti & the Dragon,"Namjoshi, Suniti",Spinifex Press,126,1993-08-01,,Paperback,,en,,"Height: 8 Inches, Length: 5 Inches, Weight: 0.4299014109 Pounds, Width: 0.36 Inches",12.95,https://images.isbndb.com/covers/91/83/9781875559183.jpg,Success
0-671-01444-7,The First Lady Murders,"Pickard, Nancy",Pocket,416,1999-02-01,,Paperback,"Mystery's best writers deceive, thrill, and entertain in this spellbinding collection of new stories centered around America's First Ladies--women who know that life at the White House can be murder.",en,,"Height: 7.25 Inches, Length: 4.25 Inches, Weight: 0.5 Pounds, Width: 1.25 Inches",1.99,https://images.isbndb.com/covers/44/45/9780671014445.jpg,Success
0-312-19965-1,A Year of Full Moons,"Arnold, Madelyn",St Martins Pr,304,2000,"Lesbian teenagers, Lesbian teenagers--Fiction, Teenage girls, Teenage girls--Fiction, PS3551.R535 Y43 2000, 813/.54",Hardcover,A Young Kentucky Girl In 1963 Copes With Her Attraction To Other Women And Her Family's Dire Poverty As She Learns To Trust Herself And Live In An Ameica Torn By Social And Political Unrest. Madelyn Arnold.,en,First Edition,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1.45 Pounds, Width: 1.5 Inches",25.95,https://images.isbndb.com/covers/96/54/9780312199654.jpg,Success
0-688-17128-1,Misadventures in the (213),"Hensley, Dennis",Harper Perennial,304,1999-06-23,"Fiction, Fiction Subjects",Paperback,"<p><P>What Armistead Maupin did for San Francisco, Detour columnist Dennis Hensley does double for Los Angeles in a tale of a struggling screenwriter, his circle of urbane celebrity-seeking friends, and their madcap attempts to make it in the biz.<BR> <P>(213)? you may ask. Well, the area code, of course. Misadventures?<BR> <P>Just the usual crazy high jinks underemployed Tinseltown wannabes usually get up to. Like making off with fish from Tina Louise's koi pond. Or calling Leeza Gibbons via Airfone to ask who does her headshots. Or harassing Alicia Silverstone with tales of watermelon-loving porn stars. Or auctioning off Andrew Shue's chicken wing and Heather Locklear's lip print for charity. You know. And the wannabes themselves? Well, there's Craig, the aforementioned struggling screenwriter. And Dandy Rio, his best friend and star of her own hit sitcom, That'sJust Dandy. Miles, their superpublicist friend, and Ulysses, a noble but unsuccessful musician from Craig and Dandy's college days. Oh, and a whole slew of love slaves.<BR> <P>Packed with Hollywood life lessons and more B-level celebs than you can shake a casting sheet at, Misadventures in the (213) is a brilliantly witty romp through the L.A. entertainment machine. And just wait till you come out the other end. Because, of course, money, fame, and glamour aren't everything.,br> <P>Dennis Hensley is a writer, journalist, and sometime friend to the stars. For the past year and a half, he has written the Misadventures in the (213) column under the pseudonym Craig Clybourn for Detour magazine, and has contributed articles and profiles to Out and Movieline. He is also a regular celebrity profiler for Detour. He lives in Los Angeles.</p><h3>Publishers Weekly</h3><p>In this comic novel of Hollywood's outer circle, essentially a book-length version of Hensley's (lightly fictionalized?) gossip column for Detour magazine, the in-joke is more than a gesture it's a lifestyle. Celebrity-crazed Craig Clyborne has an edge over the other L.A. schemers and dreamers he hangs around with. His best friend is Dandy Rio, the sexually voracious, hilariously Machiavellian star of a new sitcom. The book's plot, which involves Craig's moving to Hollywood to peddle his script, is just a device from which to hang various sketches, mostly about Dandy scheming, alternately, to bed various stars (for example, Bill Maher, the host of Politically Incorrect) and to redeem her career, which, midway through the book, begins to bomb. Dandy is by far Hensley's most enjoyable creation: Craig's always-a-bridesmaid litany of disastrous dates (with a waiter, with the son of a game show host, with the star of a rock 'n' roll band) soon grows tiring. The novel's considerable gag sense and rapid-fire one-liners will be best appreciated by fanatics of TV trivia; others, especially those outside (213), may start to feel like intruders on an infernal party line.</p>",en,1st Pbk. Ed,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.65 Pounds, Width: 0.69 Inches",1.99,https://images.isbndb.com/covers/12/85/9780688171285.jpg,Success
1-883523-31-1,Ordinary Justice,"Labovitz, Trudy",Spinsters Ink,232,2000-01-01,,Paperback,"<br>
Fiction. In the serenity and solitude of the West Virginia mountains, in a small town whose sole claim is that the local inn was a stop on the legendary Underground Railroad, Zoe Kergulin has fled to rebuild her life. But her past threatens to catch up with her when Zoe's neighbor, Susan Rourke, disappears and is presumed murdered by her estranged husband. As Zoe investigates a stormy relationship that ended in the brutal murder of one spouse and the dissappearance of the other, she discovers a close-knit community of rural folk whose members hide secrets of their own. Travel along the twists and turns of these mountain trails where the most dangerous animals lurking in the shadows are the two-legged variety.",en,First Edition,"Height: 8.75 Inches, Length: 5.5 Inches, Weight: 0.6503636729 Pounds, Width: 0.5 Inches",12,https://images.isbndb.com/covers/33/12/9781883523312.jpg,Success
0-385-49116-6,Justice at Risk: A Benjamin Justice Mystery (Benjamin Justice Mysteries),"Wilson, John Morgan",Doubleday,293,1999-07-20,"Gay men, Gay men--Fiction, Television writers, Television writers--Fiction, Justice, Benjamin (Fictitious character), Justice, Benjamin (Fictitious character)--Fiction, Journalists, Journalists--Fiction, PS3573.I456974 J8 1999, 813/.54",Hardcover,"Reporter Benjamin Justice, In Disgrace After Winning The Pulitzer Prize For A Story He Fabricated, Investigates The Mutilation Murders Of Gay Film Directors In Los Angeles. The Probe Takes Him Into The World Of Sadomasochism. By The Author Of Revision Of Justice. John Morgan Wilson.",en,First Edition,"Height: 10 Inches, Length: 6.75 Inches, Weight: 1.25 Pounds, Width: 1.25 Inches",22.95,https://images.isbndb.com/covers/11/67/9780385491167.jpg,Success
0-375-75318-4,For Mothers of Difficult Daughters; How to Enrich and Repair the Relationship in Adulthood,"Herst, Charney, Padwa, Lynette",Random House Publishing Group,320,1999-02-22,,Paperback,"Many mothers blame themselves for their faltering and failed relationships with their grown daughters. And even more mothers believe that their strained relations are irreparable, and that friendship -- or even civility -- with their female offspring is impossible. Family therapist and clinical psychologist Dr. Charney Herst tells us it isn't so. In this important and empowering book, which has been featured on Oprah and Good Morning America and has sparked print coverage on the mother/daughter dynamic in papers like the los Angeles Times and The New York Daily News, Dr. Charney Herst teaches mothers to better understand their daughters and to recognize their strengths and weaknesses.
<p>According to Dr. Herst, there are three kinds of difficult daughters. The Dependent Daughter is the one who won't leave the nest, who continually expects mom to pay for everything, the one who seems incapable of running her own life. The Dissatisfied Daughter is the chronically unhappy one who is independent but treats her mother as a dumping ground for grievances large and small. The Distant Daughter is the most heartbreaking of all, for these women have withdrawn, gradually or dramatically -- and sometimes completely -- from their mothers.</p>
<p>This book helps mothers untangle the web of personal history and intense emotion, and take the lead in repairing this all-important bond. It offers hope, not criticism.</p>",en,1,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.91932763254 Pounds, Width: 0.73 Inches",15.41,https://images.isbndb.com/covers/31/83/9780375753183.jpg,Success
0-688-15691-6,Burning Girl,"Neihart, Ben",Rob Weisbach Books,245,1999,"College Students, Gay Students, Friendship, Brothers And Sisters, Murder",Hardcover,,en,First Edition,"Height: 8.75 Inches, Length: 6 Inches, Weight: 1 Pounds, Width: 1 Inches",24,https://images.isbndb.com/covers/69/16/9780688156916.jpg,Success
0-87451-906-3,Georgia O’Keeffe: A Life,"Robinson, Roxana",UPNE,679,1999-01-01,,Paperback,"Georgia O'Keeffe is arguably the 20th century's leading woman artist. Coming of age along with American modernism, her life was rich in intense relationships -- with family, friends, and especially noted photographer Alfred Stieglitz. Her struggle between the rigorous demands of love and work resulted in extraordinary accomplishments. Her often-eroticized flowers, bones, stones, skulls, and pelvises became extremely well known to a broad American public. The New York Times Book Review named this richly detailed and moving biography a Notable Book of the Year.",en,1,"Height: 9.25 Inches, Length: 6 Inches, Weight: 2.1 Pounds, Width: 1.7 Inches",29.95,https://images.isbndb.com/covers/90/68/9780874519068.jpg,Success
1-56280-237-2,The Drive,"Todd, Trisha",Naiad Pr,146,1999,"Lesbians, Lesbians--Fiction, Interpersonal relations, Interpersonal relations--Fiction, PS3570.O3936 D75 1999, 813/.54",Paperback,"In a blend of fiction and autobiography, actress Trisha Todd reveals the secret loves she chased after--and ran from--her whole life. And, for the first time, tells the true story behind her unforgettable performance in the classic lesbian film ""Claire of the Moon"".",en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.39903669422 Pounds, Width: 0.75 Inches",11.95,https://images.isbndb.com/covers/23/70/9781562802370.jpg,Success
0-8039-5059-4,"Women and Work: Vol 6: Exploring Race, Ethnicity and Class (Women and Work: A Research and Policy Series)",,"SAGE Publications, Inc",304,1997-06-12,,Paperback,,en,1,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.992080179 Pounds, Width: 0.76 Inches",87,https://images.isbndb.com/covers/05/97/9780803950597.jpg,Success
0-7868-3000-2,,,,,,,,,,,,,,Error
1-883523-21-1,,,,,,,,,,,,,,Error
1-56584-455-6,"Dangerous Liaisons: Blacks, Gays, and the Struggle for Equality",,The New Press,312,1999-06-01,"Homophobia, Homophobia--United States, Heterosexism, Heterosexism--United States, Homophobia--Religious aspects--Christianity, African Americans--Civil rights, African Americans--Attitudes, Civil rights movements--History, Civil rights movements--United States--History, Gay liberation movement--History, Gay liberation movement--United States--History, Race relations, Politics and government, HQ76.4.U6 D35 1999, 305.896073, 305.896/073",Hardcover,"Dangerous Liaisons Provides A Platform For The Leading Minds Of Both Communities - Including Thinkers Who Straddle Both Worlds - To Debate The Volatile Subject Of The Relationship Between African Americans And Homosexuals. It Includes Writing On Minority Relations By Well-known Historians, Political Analysts, Activists, Writers, And Philosophers. They Address Such Timely Issues As Recent High-profile Hate Crimes Against Blacks And Gays: Racism In Gay And Lesbian Rights Organizations; Homophobia In The Black Church; The Shift In Highest Rate-of-infection Of Hiv From The Gay Community To The Black Community; And Stereotypes In Books And Films.--jacket. Offering A Platform For Dialogue / Eric Brandt -- Blacks And Gays : Healing The Great Divide / Barbara Smith -- Backlash? / Henry Louis Gates, Jr. -- Failure To Transform : Homophobia In The Black Community / Cheryl Clarke -- Race And The Invisible Dyke / Mab Segrest -- Nothing Special : The Specious Attack On Civil Rights / Alisa Solomon -- Blacks And Gays In Conflict : An Interview With U.s. Representative Barney Frank / Keith Boykin -- Fighting Homophobia Versus Challenging Heterosexism : The Failure To Transform Revisited / Cathy J. Cohen And Tamara Jones -- Jesus Wept : Reflections On Hiv Dis-ease And The Churches Of Black Folk / Reginald Glenn Blaxton -- Whosoever Is Welcome Here : An Interview With Reverend Edwin C. Sanders Ii / Gary David Comstock -- Black Lesbians : Passing, Stereotypes And Transformation / Jewelle Gomez -- Writing Robeson / Martin Duberman -- Transferences And Confluences : Black Poetries, The Black Arts Movement, And Black Lesbian-feminism / Cheryl Clarke -- More Man Than You'll Ever Be : Antonio Fargas, Eldridge Cleaver And Toni Morrison's Beloved / Darieck Scott -- Shock Of Gary Fisher / Robert F. Reid-pharr -- Some Queer Notions About Race / Samuel R. Delany -- On Heterosexism And Transformation : An Interview / Cornel West -- There Is No [hierarchy] Of Oppressions / Audre Lorde. Edited By Eric Brandt. Includes Bibliographical References.",en,,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1.06 Pounds, Width: 1 Inches",22.95,https://images.isbndb.com/covers/45/51/9781565844551.jpg,Success
0-395-96701-5,A Country Year: Living the Questions,Sue Hubbell,Mariner Books,240,1999-04-26,,Paperback,"<p><p>When her thirty-year marriage broke up, Sue Hubbell found herself alone and broke on a small Ozarks farm. Keeping bees, she found solace in the natural world. She began to write, challenging herself to tell the absolute truth about her life and the things that she cared about. The result is one of the best-loved books ever written about life on the land, about a woman finding her way in middle age.<p></p> <h3>Publishers Weekly</h3> <p>An invasion of spring peepers, a young indigo bunting at song practice, a parade of caterpillarsthese are integral parts of Hubbell's environment. She lives alone on a 100-acre farm in the Ozarks, where she tends 200 beehives and produces honey on a commercial scale. In a series of exquisite vignettes she takes us into her world, and a life attuned to nature. Hubbell's busiest season is late summer, when she harvests the honey. Then she needs help for the backbreaking labor (``a strong young man who is not afraid of being stung''). She tells how she desensitizes her helper to bee stings; there is a vivid description of a day in the beeyard at harvest time. We meet her dogs and cats, her neighbors; travel with her when she sells the honey; share the pleasures of observing wildlife. Some of these delightful pieces have appeared in the ``Hers'' column of the New York Times and in Country Journal. Illustrations. First serial to Harper's. (April 10)</p>",en,First Edition,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.54895103238 Pounds, Width: 0.5625 Inches",15.95,https://images.isbndb.com/covers/70/10/9780395967010.jpg,Success
0-253-21191-3,"Nation, Empire, Colony: Historicizing Gender and Race",,Indiana University Press,328,1998-11-22,"Women--Colonies--History, Women--Europe--Colonies--History, Women--America--Colonies--History, Sex role--Colonies--History, Sex role--Europe--Colonies--History, Sex role--America--Colonies--History, Imperialism--History, Imperialism--History--19th century, Imperialism--History--20th century, Women--Colonies--Europe--History, Women--Colonies--America--History, Sex role--Colonies--Europe--History, Sex role--Colonies--America--History, HQ1587 .N28 1998, 305.4/09",Paperback,"Maori Agriculturalists And Aboriginal Hunter-gatherers : Women And Colonial Displacement In Nineteenth-century Aotearoa-new Zealand And Southeastern Australia / Patricia Grimshaw -- Enfranchising Women Of Color : Woman Suffragists As Agents Of Imperialism / Rosalyn Terborg-penn -- Gendered Colonialism : The Woman Question In Settler Society / Dolores E. Janiewski -- Actions Louder Than Words : The Historical Task Of Defining Feminist Consciousness In Colonial West Africa / Cheryl Johnson Odim -- Frontier Feminism And The Marauding White Man : Australia, 1890s To 1940s / Marilyn Lake -- Porfiriato And The Mexican Revolution : Constructions Of Feminism And Nationalism / Gabriela Cano -- Politics Of Irish Identity And The Interconnections Between Feminism, Nationhood, And Colonialism / Breda Gray And Louise Ryan -- Coexisting And Conflicting Identities : Women And Nationalisms In Twentieth-century Iran / Joanna De Groot -- Orthodoxy, Cultural Nationalism, And Hindutva Violence : An Overview Of The Gender Ideology Of The Hindu Right / Tanika Sarkar -- Surviving Absence : Jewishness And Femininity In Liberation France, 1944-1945 / Karen H. Adler -- Men, Women, And The Community Borders : German-nationalist And National Socialist Discourses On Gender, Race, And National Identity In Austria, 1918-1938 / Johanna Gehmacher -- Images Of Sara Bartman : Sexuality, Race, And Gender In Early-nineteenth-century Britain / Yvette Abrahams -- Sexual And Racial Discrimination : A Historical Inquiry Into The Japanese Military's Comfort Women System Of Enforced Prostitution / Sayoko Yoneda -- Vacations In The Contact Zone : Race, Gender, And The Traveler At Niagara Falls / Karen Dubinsky -- Uprooted Women : Partition Of Punjab 1947 / Aparna Basu -- Politics And The Writing Of History / Himani Bannerji. Edited By Ruth Roach Pierson And Nupur Chaudhuri ; With The Assistance Of Beth Mcauley. Includes Bibliographical References And Index.",en,New Edition,"Height: 1.03 Inches, Length: 9.25 Inches, Weight: 1.10892517786 Pounds, Width: 6.17 Inches",23.04,https://images.isbndb.com/covers/19/10/9780253211910.jpg,Success
0-920661-63-7,Her Mother's Ashes 2: More Stories by South Asian Women in the United States and Canada,South Asian women in Canada and the United States,TSAR Publications,176,1999-01-01,"Asian Americans - Fiction & Literature, Women Authors - Literature Anthologies, Canadian Literature Anthologies",Paperback,"<p>Contributors: Meena Alexander, Anita Rau Badami, Shauna Singh Baldwin, Chaya Bhunaveswar, Shree Ghatage, Lakshmi Gill, Ginu Kamani, Farida Karodia, Ausma Zehenat Khan, Maya Khankhoje, Geeta Kothari, Yasmin Ladha, Sunaina Maira, Shani Mootoo, Uma Parameswaran, Roshni Rustomji and Tanya Selvaratnam.</p>",en,2,"Height: 8.75 Inches, Length: 5.8 Inches, Weight: 0.7495716908 Pounds, Width: 0.56 Inches",7.42,https://images.isbndb.com/covers/16/35/9780920661635.jpg,Success
0-15-201344-X,True Heart,"Moss, Marissa",Silver Whistle,32,1999-03-01,"Children's Fiction, General",Hardcover,,en,First Edition,"Height: 11.75 Inches, Length: 9 Inches, Weight: 0.9 Pounds, Width: 0.5 Inches",16,https://images.isbndb.com/covers/34/48/9780152013448.jpg,Success
